Layer                                                                                                          Dtype                 Size (MB) Shape                         
model.diffusion_model.joint_blocks.16.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.16.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.16.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.16.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.16.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.16.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.16.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.16.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.16.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.17.context_block.adaLN_modulation.1.bias                                    torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.17.context_block.adaLN_modulation.1.weight                                  torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.17.context_block.attn.proj.bias                                             torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.17.context_block.attn.proj.weight                                           torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.17.context_block.attn.qkv.bias                                              torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.17.context_block.attn.qkv.weight                                            torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.17.context_block.mlp.fc1.bias                                               torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.17.context_block.mlp.fc1.weight                                             torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.17.context_block.mlp.fc2.bias                                               torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.17.context_block.mlp.fc2.weight                                             torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.17.x_block.adaLN_modulation.1.bias                                          torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.17.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.17.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.17.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.17.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.17.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.17.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.17.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.17.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.17.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.18.context_block.adaLN_modulation.1.bias                                    torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.18.context_block.adaLN_modulation.1.weight                                  torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.18.context_block.attn.proj.bias                                             torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.18.context_block.attn.proj.weight                                           torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.18.context_block.attn.qkv.bias                                              torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.18.context_block.attn.qkv.weight                                            torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.18.context_block.mlp.fc1.bias                                               torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.18.context_block.mlp.fc1.weight                                             torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.18.context_block.mlp.fc2.bias                                               torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.18.context_block.mlp.fc2.weight                                             torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.18.x_block.adaLN_modulation.1.bias                                          torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.18.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.18.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.18.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.18.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.18.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.18.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.18.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.18.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.18.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.19.context_block.adaLN_modulation.1.bias                                    torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.19.context_block.adaLN_modulation.1.weight                                  torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.19.context_block.attn.proj.bias                                             torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.19.context_block.attn.proj.weight                                           torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.19.context_block.attn.qkv.bias                                              torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.19.context_block.attn.qkv.weight                                            torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.19.context_block.mlp.fc1.bias                                               torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.19.context_block.mlp.fc1.weight                                             torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.19.context_block.mlp.fc2.bias                                               torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.19.context_block.mlp.fc2.weight                                             torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.19.x_block.adaLN_modulation.1.bias                                          torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.19.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.19.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.19.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.19.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.19.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.19.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.19.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.19.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.19.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.2.context_block.adaLN_modulation.1.bias                                     torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.2.context_block.adaLN_modulation.1.weight                                   torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.2.context_block.attn.proj.bias                                              torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.2.context_block.attn.proj.weight                                            torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.2.context_block.attn.qkv.bias                                               torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.2.context_block.attn.qkv.weight                                             torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.2.context_block.mlp.fc1.bias                                                torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.2.context_block.mlp.fc1.weight                                              torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.2.context_block.mlp.fc2.bias                                                torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.2.context_block.mlp.fc2.weight                                              torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.2.x_block.adaLN_modulation.1.bias                                           torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.2.x_block.adaLN_modulation.1.weight                                         torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.2.x_block.attn.proj.bias                                                    torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.2.x_block.attn.proj.weight                                                  torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.2.x_block.attn.qkv.bias                                                     torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.2.x_block.attn.qkv.weight                                                   torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.2.x_block.mlp.fc1.bias                                                      torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.2.x_block.mlp.fc1.weight                                                    torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.2.x_block.mlp.fc2.bias                                                      torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.2.x_block.mlp.fc2.weight                                                    torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.20.context_block.adaLN_modulation.1.bias                                    torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.20.context_block.adaLN_modulation.1.weight                                  torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.20.context_block.attn.proj.bias                                             torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.20.context_block.attn.proj.weight                                           torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.20.context_block.attn.qkv.bias                                              torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.20.context_block.attn.qkv.weight                                            torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.20.context_block.mlp.fc1.bias                                               torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.20.context_block.mlp.fc1.weight                                             torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.20.context_block.mlp.fc2.bias                                               torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.20.context_block.mlp.fc2.weight                                             torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.20.x_block.adaLN_modulation.1.bias                                          torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.20.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.20.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.20.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.20.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.20.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.20.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.20.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.20.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.20.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.21.context_block.adaLN_modulation.1.bias                                    torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.21.context_block.adaLN_modulation.1.weight                                  torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.21.context_block.attn.proj.bias                                             torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.21.context_block.attn.proj.weight                                           torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.21.context_block.attn.qkv.bias                                              torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.21.context_block.attn.qkv.weight                                            torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.21.context_block.mlp.fc1.bias                                               torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.21.context_block.mlp.fc1.weight                                             torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.21.context_block.mlp.fc2.bias                                               torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.21.context_block.mlp.fc2.weight                                             torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.21.x_block.adaLN_modulation.1.bias                                          torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.21.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.21.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.21.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.21.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.21.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.21.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.21.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.21.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.21.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.22.context_block.adaLN_modulation.1.bias                                    torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.22.context_block.adaLN_modulation.1.weight                                  torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.22.context_block.attn.proj.bias                                             torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.22.context_block.attn.proj.weight                                           torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.22.context_block.attn.qkv.bias                                              torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.22.context_block.attn.qkv.weight                                            torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.22.context_block.mlp.fc1.bias                                               torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.22.context_block.mlp.fc1.weight                                             torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.22.context_block.mlp.fc2.bias                                               torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.22.context_block.mlp.fc2.weight                                             torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.22.x_block.adaLN_modulation.1.bias                                          torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.22.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.22.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.22.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.22.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.22.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.22.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.22.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.22.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.22.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.23.context_block.adaLN_modulation.1.bias                                    torch.float16             0.006 torch.Size([3072])            
model.diffusion_model.joint_blocks.23.context_block.adaLN_modulation.1.weight                                  torch.float16             9.000 torch.Size([3072, 1536])      
model.diffusion_model.joint_blocks.23.context_block.attn.qkv.bias                                              torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.23.context_block.attn.qkv.weight                                            torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.23.x_block.adaLN_modulation.1.bias                                          torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.23.x_block.adaLN_modulation.1.weight                                        torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.23.x_block.attn.proj.bias                                                   torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.23.x_block.attn.proj.weight                                                 torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.23.x_block.attn.qkv.bias                                                    torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.23.x_block.attn.qkv.weight                                                  torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.23.x_block.mlp.fc1.bias                                                     torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.23.x_block.mlp.fc1.weight                                                   torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.23.x_block.mlp.fc2.bias                                                     torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.23.x_block.mlp.fc2.weight                                                   torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.3.context_block.adaLN_modulation.1.bias                                     torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.3.context_block.adaLN_modulation.1.weight                                   torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.3.context_block.attn.proj.bias                                              torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.3.context_block.attn.proj.weight                                            torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.3.context_block.attn.qkv.bias                                               torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.3.context_block.attn.qkv.weight                                             torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.3.context_block.mlp.fc1.bias                                                torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.3.context_block.mlp.fc1.weight                                              torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.3.context_block.mlp.fc2.bias                                                torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.3.context_block.mlp.fc2.weight                                              torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.3.x_block.adaLN_modulation.1.bias                                           torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.3.x_block.adaLN_modulation.1.weight                                         torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.3.x_block.attn.proj.bias                                                    torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.3.x_block.attn.proj.weight                                                  torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.3.x_block.attn.qkv.bias                                                     torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.3.x_block.attn.qkv.weight                                                   torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.3.x_block.mlp.fc1.bias                                                      torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.3.x_block.mlp.fc1.weight                                                    torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.3.x_block.mlp.fc2.bias                                                      torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.3.x_block.mlp.fc2.weight                                                    torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.4.context_block.adaLN_modulation.1.bias                                     torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.4.context_block.adaLN_modulation.1.weight                                   torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.4.context_block.attn.proj.bias                                              torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.4.context_block.attn.proj.weight                                            torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.4.context_block.attn.qkv.bias                                               torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.4.context_block.attn.qkv.weight                                             torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.4.context_block.mlp.fc1.bias                                                torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.4.context_block.mlp.fc1.weight                                              torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.4.context_block.mlp.fc2.bias                                                torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.4.context_block.mlp.fc2.weight                                              torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.4.x_block.adaLN_modulation.1.bias                                           torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.4.x_block.adaLN_modulation.1.weight                                         torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.4.x_block.attn.proj.bias                                                    torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.4.x_block.attn.proj.weight                                                  torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.4.x_block.attn.qkv.bias                                                     torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.4.x_block.attn.qkv.weight                                                   torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.4.x_block.mlp.fc1.bias                                                      torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.4.x_block.mlp.fc1.weight                                                    torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.4.x_block.mlp.fc2.bias                                                      torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.4.x_block.mlp.fc2.weight                                                    torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.5.context_block.adaLN_modulation.1.bias                                     torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.5.context_block.adaLN_modulation.1.weight                                   torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.5.context_block.attn.proj.bias                                              torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.5.context_block.attn.proj.weight                                            torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.5.context_block.attn.qkv.bias                                               torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.5.context_block.attn.qkv.weight                                             torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.5.context_block.mlp.fc1.bias                                                torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.5.context_block.mlp.fc1.weight                                              torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.5.context_block.mlp.fc2.bias                                                torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.5.context_block.mlp.fc2.weight                                              torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.5.x_block.adaLN_modulation.1.bias                                           torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.5.x_block.adaLN_modulation.1.weight                                         torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.5.x_block.attn.proj.bias                                                    torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.5.x_block.attn.proj.weight                                                  torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.5.x_block.attn.qkv.bias                                                     torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.5.x_block.attn.qkv.weight                                                   torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.5.x_block.mlp.fc1.bias                                                      torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.5.x_block.mlp.fc1.weight                                                    torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.5.x_block.mlp.fc2.bias                                                      torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.5.x_block.mlp.fc2.weight                                                    torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.6.context_block.adaLN_modulation.1.bias                                     torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.6.context_block.adaLN_modulation.1.weight                                   torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.6.context_block.attn.proj.bias                                              torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.6.context_block.attn.proj.weight                                            torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.6.context_block.attn.qkv.bias                                               torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.6.context_block.attn.qkv.weight                                             torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.6.context_block.mlp.fc1.bias                                                torch.float16             0.012 torch.Size([6144])            
model.diffusion_model.joint_blocks.6.context_block.mlp.fc1.weight                                              torch.float16            18.000 torch.Size([6144, 1536])      
model.diffusion_model.joint_blocks.6.context_block.mlp.fc2.bias                                                torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.6.context_block.mlp.fc2.weight                                              torch.float16            18.000 torch.Size([1536, 6144])      
model.diffusion_model.joint_blocks.6.x_block.adaLN_modulation.1.bias                                           torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.6.x_block.adaLN_modulation.1.weight                                         torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.6.x_block.attn.proj.bias                                                    torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.6.x_block.attn.proj.weight                                                  torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.6.x_block.attn.qkv.bias                                                     torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.6.x_block.attn.qkv.weight                                                   torch.float16            13.500 torch.Size([4608, 1536])      
